Date,Rocket Name,Price,Payload to LEO,Payload to GTO,Location,Outcome
2005-12-25T05:07:10Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2005-12-28T05:19:08Z,Soyuz-FG Fregat,N/A,7.10,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2005-12-29T02:28:40Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-01-19T19:00:00Z,Atlas V 551,"$153,000,000",18.85,8.89,"Cape Canaveral SFS, FL, USA",Launch Successful
2006-01-24T01:33:00Z,H-IIA 2022,N/A,N/A,4.50,"Tanegashima Space Center, Japan",Launch Successful
2006-02-15T23:34:55Z,Zenit 3SL,N/A,N/A,N/A,Sea Launch,Launch Successful
2006-02-18T06:27:00Z,H-IIA 2024,N/A,N/A,5.00,"Tanegashima Space Center, Japan",Launch Successful
2006-02-21T21:28:00Z,M-V,N/A,1.80,N/A,"Uchinoura Space Center, Japan",Launch Successful
2006-02-28T20:10:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
2006-03-11T22:33:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2006-03-22T14:03:45Z,Pegasus XL,"$40,000,000",0.44,N/A,Air launch to orbit,Launch Successful
2006-03-24T22:30:00Z,Falcon 1,"$7,000,000",0.47,N/A,"Ronald Reagan Ballistic Missile Defense Test Site, Kwajalein Atoll, Marshall Islands",Launch Failure
2006-03-28T20:10:00Z,Pegasus XL,"$40,000,000",0.44,N/A,Air launch to orbit,Launch Successful
2006-03-30T02:30:20Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-04-12T23:29:59Z,Zenit 3SL,N/A,N/A,N/A,Sea Launch,Launch Successful
2006-04-15T01:40:00Z,Minotaur I,N/A,0.58,N/A,"Vandenberg SFB, CA, USA",Launch Successful
2006-04-20T20:27:00Z,Atlas V 411,"$115,000,000",8.08,5.95,"Cape Canaveral SFS, FL, USA",Launch Successful
2006-04-24T16:03:25Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-04-25T16:47:16Z,Start-1,"$9,000,000",0.63,N/A,"Svobodny Cosmodrome, Russian Federation",Launch Successful
2006-04-26T22:48:00Z,Long March 4C,N/A,N/A,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2006-04-28T10:02:16Z,Delta II 7420-10C,N/A,N/A,N/A,"Vandenberg SFB, CA, USA",Launch Successful
2006-05-03T17:38:01Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2006-05-24T22:11:00Z,"Delta IV M+(4,2)","$350,000,000",11.92,6.27,"Cape Canaveral SFS, FL, USA",Launch Successful
2006-05-26T18:50:00Z,Shtil'-1,N/A,0.43,N/A,Sea Launch,Launch Successful
2006-05-27T21:09:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2006-06-15T08:00:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-06-17T22:44:05Z,Proton-K/DM-2M,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-06-18T07:50:00Z,Zenit 3SL,N/A,N/A,N/A,Sea Launch,Launch Successful
2006-06-21T22:15:00Z,Delta II 7925-9.5,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
2006-06-24T15:08:18Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-06-25T04:00:00Z,Tsiklon-2,"$12,000,000",2.82,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-06-28T03:33:00Z,"Delta IV M+(4,2)","$350,000,000",11.92,6.27,"Vandenberg SFB, CA, USA",Launch Successful
2006-07-04T18:37:55Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
2006-07-10T12:08:00Z,GSLV,"$47,000,000",5.00,2.50,"Satish Dhawan Space Centre, India",Launch Failure
2006-07-12T14:53:36Z,Dnepr 1,N/A,N/A,N/A,"Dombarovskiy, Russian Federation",Launch Successful
2006-07-21T04:20:03Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2006-07-26T19:43:05Z,Dnepr 1,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
2006-07-28T07:05:43Z,Rokot/Briz-KM,N/A,1.85,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2006-08-04T21:48:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-08-11T22:15:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2006-08-22T03:27:01Z,Zenit 3SL,N/A,N/A,N/A,Sea Launch,Launch Successful
2006-09-09T07:00:04Z,Long March 2C,N/A,3.85,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2006-09-09T15:14:55Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
2006-09-11T04:35:00Z,H-IIA 202,"$90,000,000",10.00,4.10,"Tanegashima Space Center, Japan",Launch Successful
2006-09-12T16:02:00Z,Long March 3A,N/A,N/A,2.30,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2006-09-14T13:41:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-09-18T04:08:42Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-09-22T21:36:00Z,M-V,N/A,1.80,N/A,"Uchinoura Space Center, Japan",Launch Successful
2006-09-25T18:50:00Z,Delta II 7925-9.5,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
2006-10-13T20:56:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2006-10-19T16:28:13Z,Soyuz 2.1a Fregat,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-10-23T13:40:36Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-10-23T23:34:00Z,Long March 4B,N/A,4.20,1.50,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2006-10-26T00:52:00Z,Delta II 7925-10L,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
2006-10-28T16:20:00Z,Long March 3B,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2006-10-30T23:48:59Z,Zenit 3SL,N/A,N/A,N/A,Sea Launch,Launch Successful
2006-11-04T13:53:00Z,Delta IV M,"$164,000,000",8.60,3.90,"Vandenberg SFB, CA, USA",Launch Successful
2006-11-08T20:01:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-11-17T19:12:00Z,Delta II 7925-9.5,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
2006-12-08T00:53:00Z,Long March 3A,N/A,N/A,2.30,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2006-12-08T22:08:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2006-12-10T01:47:35Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
2006-12-11T23:28:43Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-12-14T21:00:00Z,Delta II 7920-10,"$51,000,000",5.96,1.83,"Vandenberg SFB, CA, USA",Launch Successful
2006-12-16T12:00:00Z,Minotaur I,N/A,0.58,N/A,"Wallops Flight Facility, Virginia, USA",Launch Successful
2006-12-18T06:32:00Z,H-IIA 204,"$90,000,000",N/A,6.00,"Tanegashima Space Center, Japan",Launch Successful
2006-12-19T14:00:19Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2006-12-24T08:34:44Z,Soyuz 2.1a Fregat,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2006-12-25T20:18:12Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2006-12-27T14:23:38Z,Soyuz 2.1b Fregat,"$80,000,000",8.20,3.25,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-01-10T03:54:00Z,PSLV,"$21,000,000",3.80,1.20,"Satish Dhawan Space Centre, India",Launch Successful
2007-01-18T02:12:13Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-01-30T23:22:00Z,Zenit 3SL,N/A,N/A,N/A,Sea Launch,Launch Failure
2007-02-02T16:28:00Z,Long March 3A,N/A,N/A,2.30,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2007-02-17T23:01:00Z,Delta II 7925-10C,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
2007-02-24T04:41:00Z,H-IIA 2024,N/A,N/A,5.00,"Tanegashima Space Center, Japan",Launch Successful
2007-03-09T03:10:00Z,Atlas V 401,"$115,000,000",9.05,4.95,"Cape Canaveral SFS, FL, USA",Launch Successful
2007-03-11T22:03:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2007-03-21T01:10:00Z,Falcon 1,"$7,000,000",0.47,N/A,"Ronald Reagan Ballistic Missile Defense Test Site, Kwajalein Atoll, Marshall Islands",Launch Failure
2007-04-07T17:31:09Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-04-09T22:54:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-04-11T03:27:00Z,Long March 2C,N/A,3.85,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2007-04-13T20:11:00Z,Long March 3A,N/A,N/A,2.30,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2007-04-17T06:46:39Z,Dnepr 1,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-04-23T10:00:00Z,PSLV-CA,"$16,000,000",3.80,1.20,"Satish Dhawan Space Centre, India",Launch Successful
2007-04-24T06:48:00Z,Minotaur I,N/A,0.58,N/A,"Wallops Flight Facility, Virginia, USA",Launch Successful
2007-04-25T20:26:03Z,Pegasus XL,"$40,000,000",0.44,N/A,Air launch to orbit,Launch Successful
2007-05-04T22:29:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2007-05-12T03:25:36Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-05-13T16:01:02Z,Long March 3B/E,"$70,000,000",12.00,5.50,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2007-05-25T07:12:00Z,Long March 2D,"$30,000,000",3.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2007-05-29T20:31:30Z,Soyuz-FG Fregat,N/A,7.10,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-05-31T16:08:00Z,Long March 3A,N/A,N/A,2.30,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2007-06-07T18:00:01Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2007-06-08T02:34:00Z,Delta II 7420-10C,"$51,000,000",3.10,N/A,"Vandenberg SFB, CA, USA",Launch Successful
2007-06-08T23:38:04Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
2007-06-10T23:40:00Z,Shavit-2,N/A,N/A,N/A,"Palmachim Airbase, State of Israel",Launch Successful
2007-06-15T02:14:00Z,Dnepr 1,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-06-15T15:12:00Z,Atlas V 401,"$115,000,000",9.05,4.95,"Cape Canaveral SFS, FL, USA",Launch Successful
2007-06-28T15:02:20Z,Dnepr 1,N/A,N/A,N/A,"Dombarovskiy, Russian Federation",Launch Successful
2007-06-29T10:00:00Z,Zenit 2M,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-07-02T19:38:41Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2007-07-05T12:08:00Z,Long March 3B,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2007-07-07T01:16:00Z,Proton-M Briz-M Enhanced,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-08-02T17:33:47Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-08-04T09:26:34Z,Delta II 7925,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
2007-08-08T22:36:42Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
2007-08-14T23:44:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2007-09-02T12:51:00Z,GSLV,"$47,000,000",5.00,2.50,"Satish Dhawan Space Centre, India",Launch Failure
2007-09-05T22:43:10Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
2007-09-11T13:05:06Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2007-09-14T01:31:01Z,H-IIA 2022,N/A,N/A,4.50,"Tanegashima Space Center, Japan",Launch Successful
2007-09-14T11:00:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-09-18T18:35:00Z,Delta II 7920-10,"$51,000,000",5.96,1.83,"Vandenberg SFB, CA, USA",Launch Successful
2007-09-19T03:26:13Z,Long March 4B,N/A,4.20,1.50,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2007-09-27T11:34:00Z,Delta II 7925H-9.5,"$51,000,000",N/A,2.19,"Cape Canaveral SFS, FL, USA",Launch Successful
2007-10-05T22:02:00Z,Ariane 5 GS,N/A,N/A,6.60,"Guiana Space Centre, French Guiana",Launch Successful
2007-10-10T13:22:39Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-10-11T00:22:00Z,Atlas V 421,"$123,000,000",14.07,6.89,"Cape Canaveral SFS, FL, USA",Launch Successful
2007-10-17T12:23:00Z,Delta II 7925-9.5,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
2007-10-20T20:12:25Z,Soyuz-FG Fregat,N/A,7.10,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-10-23T04:39:17Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2007-10-23T15:38:19Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
2007-10-24T10:05:04Z,Long March 3A,N/A,N/A,2.30,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2007-10-26T07:35:24Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-11-01T00:51:44Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2007-11-11T01:50:00Z,Delta IV Heavy,"$350,000,000",28.37,14.21,"Cape Canaveral SFS, FL, USA",Launch Successful
2007-11-11T22:48:15Z,Long March 4C,N/A,N/A,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2007-11-14T22:06:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2007-11-17T22:39:47Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-12-09T00:16:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-12-09T02:31:42Z,Delta II 7420-10C,"$51,000,000",3.10,N/A,"Vandenberg SFB, CA, USA",Launch Successful
2007-12-10T22:05:00Z,Atlas V 401,"$115,000,000",9.05,4.95,"Cape Canaveral SFS, FL, USA",Launch Successful
2007-12-14T13:17:34Z,Soyuz-FG Fregat,N/A,7.10,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-12-20T20:04:00Z,Delta II 7925-9.5,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
2007-12-21T21:41:55Z,Ariane 5 GS,N/A,N/A,6.60,"Guiana Space Centre, French Guiana",Launch Successful
2007-12-23T07:12:41Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2007-12-25T19:32:34Z,Proton-M DM-2 Enhanced,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-01-15T11:48:59Z,Zenit 3SL,N/A,N/A,N/A,Sea Launch,Launch Successful
2008-01-21T03:45:00Z,PSLV-CA,"$16,000,000",3.80,1.20,"Satish Dhawan Space Centre, India",Launch Successful
2008-01-28T00:18:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-02-05T13:02:57Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-02-07T19:45:30Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
2008-02-11T11:34:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-02-23T08:55:00Z,H-IIA 2024,N/A,N/A,5.00,"Tanegashima Space Center, Japan",Launch Successful
2008-03-09T04:03:11Z,Ariane 5 ES,N/A,21.00,N/A,"Guiana Space Centre, French Guiana",Launch Successful
2008-03-11T06:28:14Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
2008-03-13T10:02:00Z,Atlas V 411,"$115,000,000",8.08,5.95,"Vandenberg SFB, CA, USA",Launch Successful
2008-03-14T23:18:55Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Failure
2008-03-15T06:10:00Z,Delta II 7925-9.5,"$51,000,000",N/A,1.84,"Cape Canaveral SFS, FL, USA",Launch Successful
2008-03-19T22:47:59Z,Zenit 3SL,N/A,N/A,N/A,Sea Launch,Launch Successful
2008-03-27T17:16:18Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2008-04-08T11:16:39Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-04-14T20:12:00Z,Atlas V 421,"$123,000,000",14.07,6.89,"Cape Canaveral SFS, FL, USA",Launch Successful
2008-04-16T17:02:48Z,Pegasus XL,"$40,000,000",0.44,N/A,Air launch to orbit,Launch Successful
2008-04-18T22:17:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2008-04-25T15:35:11Z,Long March 3C,N/A,N/A,N/A,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2008-04-26T22:16:02Z,Soyuz-FG Fregat,N/A,7.10,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-04-28T03:53:51Z,PSLV-CA,"$16,000,000",3.80,1.20,"Satish Dhawan Space Centre, India",Launch Successful
2008-04-28T05:00:00Z,Zenit 3SLB,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-05-14T20:22:56Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-05-21T09:43:59Z,Zenit 3SL,N/A,N/A,N/A,Sea Launch,Launch Successful
2008-05-23T15:20:09Z,Rokot/Briz-KM,N/A,1.85,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2008-05-27T03:02:33Z,Long March 4C,N/A,N/A,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2008-05-31T21:02:12Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
2008-06-09T12:15:04Z,Long March 3B,"$70,000,000",11.50,5.10,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2008-06-11T16:05:01Z,Delta II 7920H-10C,"$51,000,000",5.96,2.12,"Cape Canaveral SFS, FL, USA",Launch Successful
2008-06-12T22:05:09Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2008-06-19T06:36:46Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Kapustin Yar, Russian Federation",Launch Successful
2008-06-20T07:46:25Z,Delta II 7320,"$51,000,000",2.80,N/A,"Vandenberg SFB, CA, USA",Launch Successful
2008-06-26T23:59:43Z,Proton K/DM-2,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-07-07T21:47:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2008-07-16T05:20:59Z,Zenit 3SL,N/A,N/A,N/A,Sea Launch,Launch Successful
2008-07-22T02:40:09Z,Kosmos-3M (11K65M),N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2008-07-26T18:31:36Z,Soyuz 2.1b,"$80,000,000",8.20,3.25,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2008-08-03T03:34:00Z,Falcon 1,"$7,000,000",0.47,N/A,"Ronald Reagan Ballistic Missile Defense Test Site, Kwajalein Atoll, Marshall Islands",Launch Failure
2008-08-14T20:44:00Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2008-08-16T19:32:00Z,Safir,N/A,N/A,N/A,"Semnan Space Center, Islamic Republic of Iran",Launch Failure
2008-08-18T22:43:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-08-29T07:15:58Z,Dnepr 1,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-09-06T03:25:07Z,Long March 2C/SMA,N/A,N/A,N/A,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2008-09-06T18:50:57Z,Delta II 7420-10C,"$51,000,000",3.10,N/A,"Vandenberg SFB, CA, USA",Launch Successful
2008-09-10T19:50:02Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-09-19T21:48:00Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-09-24T09:27:59Z,Zenit 3SL,N/A,N/A,N/A,Sea Launch,Launch Successful
2008-09-25T08:49:37Z,Proton-M DM-2 Enhanced,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-09-25T13:10:04Z,Long March 2F,N/A,8.40,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2008-09-28T23:15:00Z,Falcon 1,"$7,000,000",0.47,N/A,"Ronald Reagan Ballistic Missile Defense Test Site, Kwajalein Atoll, Marshall Islands",Launch Successful
2008-10-01T06:37:21Z,Dnepr 1,N/A,N/A,N/A,"Dombarovskiy, Russian Federation",Launch Successful
2008-10-12T07:01:33Z,Soyuz FG,N/A,6.45,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-10-19T17:47:23Z,Pegasus XL,"$40,000,000",0.44,N/A,Air launch to orbit,Launch Successful
2008-10-22T00:52:11Z,PSLV XL,N/A,N/A,N/A,"Satish Dhawan Space Centre, India",Launch Successful
2008-10-25T01:15:04Z,Long March 4B,N/A,4.20,1.50,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2008-10-25T02:28:25Z,Delta II 7420-10C,"$51,000,000",3.10,N/A,"Vandenberg SFB, CA, USA",Launch Successful
2008-10-29T16:53:43Z,Long March 3B/E,"$70,000,000",12.00,5.50,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2008-11-05T00:15:04Z,Long March 2D,"$30,000,000",3.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2008-11-05T20:44:20Z,Proton-M Briz-M,N/A,21.00,4.50,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-11-14T15:50:00Z,Soyuz-U-PVB,N/A,6.90,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2008-11-15T00:55:39Z,Space Shuttle,"$450,000,000",27.50,N/A,"Kennedy Space Center, FL, USA",Launch Successful
2008-11-26T12:38:38Z,Soyuz U,N/A,6.90,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-12-01T04:42:04Z,Long March 2D,"$30,000,000",3.50,N/A,"Jiuquan Satellite Launch Center, People's Republic of China",Launch Successful
2008-12-02T04:59:59Z,Molniya-M 2BL,N/A,N/A,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2008-12-10T13:43:00Z,Proton-M Briz-M Enhanced,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2008-12-15T03:22:04Z,Long March 4B,N/A,4.20,1.50,"Taiyuan Satellite Launch Center, People's Republic of China",Launch Successful
2008-12-20T22:35:14Z,Ariane 5 ECA,N/A,N/A,10.50,"Guiana Space Centre, French Guiana",Launch Successful
2008-12-23T00:54:04Z,Long March 3A,N/A,N/A,2.30,"Xichang Satellite Launch Center, People's Republic of China",Launch Successful
2008-12-25T10:43:42Z,Proton-M DM-2 Enhanced,N/A,N/A,N/A,"Baikonur Cosmodrome, Republic of Kazakhstan",Launch Successful
2009-01-18T02:47:00Z,Delta IV Heavy,"$350,000,000",28.37,14.21,"Cape Canaveral SFS, FL, USA",Launch Successful
2009-01-23T03:54:00Z,H-IIA 202,"$90,000,000",10.00,4.10,"Tanegashima Space Center, Japan",Launch Successful
2009-01-30T13:30:00Z,Tsiklon-3,"$15,000,000",4.10,N/A,"Plesetsk Cosmodrome, Russian Federation",Launch Successful
2009-02-02T18:34:00Z,Safir,N/A,N/A,N/A,"Semnan Space Center, Islamic Republic of Iran",Launch Successful
2009-02-06T10:22:00Z,Delta II 7320-10C,"$51,000,000",2.80,N/A,"Vandenberg SFB, CA, USA",Launch Successful
